Symbol,Trade,Date,Price,Ex. date,Ex. Price,% chg,Profit,% Profit,Shares,Position value,Cum. Profit,# bars,Profit/bar,MAE,MFE,Scale In/Out
AKAM,Long (trail),25/5/2006,32.32,21/7/2006,29.92,-7.43%,-7104.71,-7.45%,2951.96,95407.43,1741831.57,40,-177.62,-16.03%,15.72%,0/0
MNST,Long (trail),9/6/2006,6.90666,21/7/2006,7.02933,1.78%,1678.6,1.76%,13847.2,95638.23,1743510.17,30,55.95,-10.71%,27.22%,0/0
SEE,Long (trail),17/6/2003,22.565,26/7/2006,23.7,5.03%,1473.66,4.96%,1316,29695.61,1744983.84,784,1.88,-5.27%,31.29%,0/0
ISRG,Long (trail),30/6/2006,115,27/7/2006,99.104,-13.82%,-13669.57,-13.84%,858.68,98748.14,1731314.27,19,-719.45,-13.82%,7.72%,0/0
GRMN,Long (trail),14/6/2006,44.8338,2/8/2006,43.7988,-2.31%,-2157.24,-2.33%,2065.02,92582.88,1729157.03,35,-61.64,-6.80%,22.11%,0/0
MNST,Long (trail),24/7/2006,7.49333,7/8/2006,5.36666,-28.38%,-27050.31,-28.40%,12710.2,95241.56,1702106.72,11,-2459.12,-28.38%,4.98%,0/0
ILMN,Long (trail),22/5/2006,13.135,16/8/2006,16,21.81%,21154.91,21.79%,7390.89,97079.4,1723261.63,61,346.8,-8.83%,52.26%,0/0
VLO,Long (trail),26/6/2006,57.0848,6/9/2006,49.6227,-13.07%,-12686.72,-13.09%,1697.47,96899.63,1710574.91,51,-248.76,-13.07%,10.13%,0/0
HUM,Long (trail),17/8/2006,59.2,8/11/2006,54.592,-7.78%,-7483.03,-7.80%,1619.58,95879.17,1703091.89,59,-126.83,-7.78%,15.27%,0/0
ILMN,Long (trail),17/8/2006,15.905,2/2/2007,18.348,15.36%,14706.99,15.34%,6028.24,95879.17,1717798.88,116,126.78,-4.34%,44.20%,0/0
ALXN,Long (trail),4/5/2006,8.1475,28/2/2007,9.146,12.26%,12725.49,12.24%,12764.6,103999.9,1730524.37,206,61.77,-8.53%,40.32%,0/0
AKAM,Long (trail),28/7/2006,36.59,2/3/2007,47.752,30.51%,29567.43,30.48%,2650.73,96990.16,1760091.81,149,198.44,-1.61%,63.13%,0/0
AIV,Long (trail),21/2/2006,32.2496,18/5/2007,38.7525,20.16%,20509.5,20.14%,3156.96,101810.77,1780601.31,313,65.53,-5.46%,50.21%,0/0
WYNN,Long (trail),6/3/2007,67.5626,27/6/2007,63.15,-6.53%,-7075.68,-6.55%,1599,108032.28,1773525.63,80,-88.45,-6.53%,16.84%,0/0
CBG,Long (trail),2/3/2007,32.56,27/7/2007,34.192,5.01%,5543.34,4.99%,3408.91,110994.19,1779068.97,103,53.82,-4.12%,31.27%,0/0
CNP,Long (trail),21/8/2006,14.2,2/8/2007,16.16,13.80%,4582.22,13.74%,2348.07,33342.6,1783651.19,239,19.17,-2.96%,42.25%,0/0
AES,Long (trail),10/8/2006,20.47,3/8/2007,19.392,-5.27%,-5061.12,-5.29%,4676.36,95725.09,1778590.07,247,-20.49,-5.27%,18.42%,0/0
UHS,Long (trail),18/8/2006,28.9418,3/8/2007,25.1401,-13.14%,-12592.47,-13.16%,3307.03,95711.38,1765997.6,241,-52.25,-13.14%,8.58%,0/0
AZO,Long (trail),15/2/2006,99.75,10/8/2007,112.232,12.51%,12561.77,12.49%,1007.99,100547.32,1778559.38,374,33.59,-15.98%,40.64%,0/0
FOX,Long (trail),17/5/2006,17.5421,15/8/2007,18.2078,3.79%,3788.22,3.77%,5720.97,100358.11,1782347.6,314,12.06,-4.58%,29.74%,0/0
PCAR,Long (trail),16/8/2006,32.5621,15/8/2007,45.6455,40.18%,38659.72,40.16%,2956.39,96266.3,1821007.32,251,154.02,-8.50%,75.22%,0/0
MA,Long (trail),2/8/2007,14.262,16/8/2007,12,-15.86%,-18524.84,-15.88%,8180.74,116673.74,1802482.48,11,-1684.08,-15.86%,5.17%,0/0
CF,Long (trail),10/8/2007,10.39,16/8/2007,9.512,-8.45%,-9578.21,-8.47%,10886.3,113109.09,1792904.27,5,-1915.64,-15.00%,14.44%,0/0
SJM,Long (trail),27/6/2007,57.3538,22/10/2007,46.8444,-18.32%,-21775.76,-18.34%,2070.12,118729.4,1771128.52,82,-265.56,-18.32%,2.10%,0/0
CMI,Long (trail),17/8/2007,53.055,25/10/2007,57.38,8.15%,8472.21,8.13%,1963.52,104174.35,1779600.72,49,172.9,-1.44%,35.19%,0/0
WYNN,Long (trail),8/8/2007,85.2976,6/11/2007,103.012,20.77%,21741.78,20.75%,1228.47,104785.74,1801342.51,64,339.72,-9.15%,50.96%,0/0
AMZN,Long (trail),17/8/2007,75.02,9/11/2007,80.872,7.80%,8645.68,7.78%,1480.81,111090.13,1809988.19,60,144.09,-2.55%,34.75%,0/0
CF,Long (trail),17/8/2007,10.912,12/11/2007,15.9984,46.61%,51762.34,46.59%,10180.5,111090.13,1861750.53,61,848.56,-5.59%,83.27%,0/0
NOV,Long (trail),23/10/2007,65.8277,13/11/2007,56.1837,-14.65%,-14224.02,-14.67%,1472.84,96953.65,1847526.51,16,-889,-14.65%,6.69%,0/0
ALB,Long (trail),26/10/2007,46.21,26/11/2007,38.304,-17.11%,-19292.53,-17.13%,2437.71,112646.55,1828233.98,21,-918.69,-17.11%,3.61%,0/0
CTL,Long (trail),23/3/2006,37.8817,20/12/2007,39.2493,3.61%,3691.23,3.59%,2713.84,102805.07,1831925.21,441,8.37,-9.78%,29.51%,0/0
WYNN,Long (trail),7/11/2007,101.198,3/1/2008,82.6307,-18.35%,-23234.34,-18.36%,1250.3,126527.52,1808690.88,39,-595.75,-18.35%,2.07%,0/0
GRMN,Long (trail),28/11/2007,107.947,3/1/2008,89.6776,-16.92%,-15819.69,-16.95%,864.813,93354.02,1792871.18,25,-632.79,-16.92%,4.38%,0/0
FSLR,Long (trail),13/11/2007,188.07,7/1/2008,226.4,20.38%,19986.56,20.36%,521.956,98164.21,1812857.75,37,540.18,-1.87%,50.48%,0/0
IBM,Long (trail),8/11/2006,92.59,9/1/2008,97.168,4.94%,4350.64,4.92%,954.705,88396.15,1817208.39,293,14.85,-4.13%,31.18%,0/0
LKQ,Long (trail),15/8/2007,7.3775,9/1/2008,9.464,28.28%,32333.84,28.26%,15506.3,114397.52,1849542.22,102,317,-3.83%,60.35%,0/0
PCLN,Long (trail),9/8/2006,31.43,11/1/2008,96.536,207.15%,199525.38,207.13%,3064.93,96330.77,2049067.6,359,555.78,-4.04%,283.93%,0/0
FLR,Long (trail),12/11/2007,64.37,16/1/2008,64,-0.57%,-787.8,-0.59%,2075.14,133576.86,2048279.8,45,-17.51,-1.78%,24.28%,0/0
NDAQ,Long (trail),12/11/2007,40.62,16/1/2008,40,-1.53%,-2058.84,-1.54%,3288.45,133576.86,2046220.96,45,-45.75,-3.25%,23.09%,0/0
TAP,Long (trail),2/2/2007,40.425,18/1/2008,46.16,14.19%,15668.6,14.17%,2735.59,110586.16,2061889.56,243,64.48,-0.51%,42.73%,0/0
MUR,Long (trail),18/5/2007,49.2758,18/1/2008,57.5762,16.84%,20090.39,16.83%,2422.83,119386.79,2081979.95,170,118.18,-6.00%,46.06%,0/0
LMT,Long (trail),14/7/2004,54.01,22/1/2008,90.992,68.47%,36302.33,68.43%,982.162,53046.58,2118282.27,888,40.88,-5.20%,110.59%,0/0
T,Long (trail),15/2/2006,28.32,22/1/2008,34.35,21.29%,21388.91,21.27%,3550.4,100547.32,2139671.18,486,44.01,-12.71%,51.73%,0/0
NBL,Long (trail),20/7/2006,23.17,22/1/2008,32.684,41.06%,40439.56,41.04%,4252.63,98533.52,2180110.74,379,106.7,-9.86%,76.33%,0/0
FMC,Long (trail),21/2/2006,15.4325,23/1/2008,23.6,52.92%,53862.36,52.90%,6597.17,101810.77,2233973.1,484,111.29,-10.09%,91.16%,0/0
DVN,Long (trail),6/9/2006,69.01,23/1/2008,75.8,9.84%,8265.84,9.82%,1220.3,84212.91,2242238.94,347,23.82,-15.43%,37.30%,0/0
RIG,Long (trail),7/8/2007,107.122,23/1/2008,119.696,11.74%,13620.86,11.72%,1084.86,116212.97,2255859.79,117,116.42,-7.94%,39.67%,0/0
MCK,Long (trail),31/1/2005,34.49,11/3/2008,54.744,58.72%,35059.14,58.69%,1731.96,59735.34,2290918.94,783,44.78,-3.31%,98.41%,0/0
STT,Long (trail),14/12/2005,59.04,15/4/2008,69.24,17.28%,16710.94,17.26%,1640.29,96842.63,2307629.88,586,28.52,-7.88%,46.60%,0/0
ADM,Long (trail),20/12/2007,43.29,29/5/2008,39.16,-9.54%,-10180.08,-9.56%,2460.07,106496.3,2297449.8,110,-92.55,-11.97%,13.07%,0/0
ICE,Long (trail),1/7/2009,22.344,8/7/2009,18.4416,-17.47%,-20955.84,-17.48%,5364.86,119872.49,2276493.96,5,-4191.17,-17.47%,3.17%,0/0
AIG,Long (trail),8/7/2009,10.8662,9/7/2009,9.33661,-14.08%,-13943.85,-14.10%,9103.17,98916.64,2262550.11,2,-6971.93,-14.08%,7.40%,0/0
C,Long (trail),1/7/2009,29.7,27/7/2009,25.68,-13.54%,-16245.16,-13.55%,4036.11,119872.48,2246304.95,18,-902.51,-14.14%,8.08%,0/0
LVLT,Long (trail),1/7/2009,22.05,30/7/2009,20.64,-6.39%,-7685.32,-6.41%,5436.39,119872.49,2238619.63,21,-365.97,-11.56%,17.01%,0/0
F,Long (trail),1/7/2009,5.76653,2/9/2009,6.91593,19.93%,23873.36,19.92%,20787.6,119872.48,2262492.99,45,530.52,-11.34%,49.92%,0/0
HBAN,Long (trail),9/7/2009,3.67,2/9/2009,3.976,8.34%,7064.92,8.31%,23153.3,84972.8,2269557.92,40,176.62,-2.72%,35.42%,0/0
DHI,Long (trail),1/7/2009,9.34,1/10/2009,11.12,19.06%,22825.08,19.04%,12834.3,119872.49,2292382.99,65,351.16,-11.56%,48.82%,0/0
AN,Long (trail),1/7/2009,17.77,2/10/2009,17.064,-3.97%,-4782.52,-3.99%,6745.78,119872.49,2287600.48,66,-72.46,-9.57%,20.03%,0/0
ZION,Long (trail),1/7/2009,11.35,2/10/2009,16.11,41.94%,50168.65,41.92%,10543.8,119672.52,2337769.12,66,760.13,-9.69%,79.38%,0/0
NVDA,Long (trail),1/7/2009,11.34,16/10/2009,13.264,16.97%,20318.15,16.95%,10570.8,119872.49,2358087.28,76,267.34,-14.37%,46.21%,0/0
RCL,Long (trail),30/7/2009,14.66,28/10/2009,20.016,36.53%,40967.35,36.52%,7652.6,112187.17,2399054.63,64,640.11,-2.80%,70.67%,0/0
ETFC,Long (trail),2/10/2009,16.8,28/10/2009,14.32,-14.76%,-20684.79,-14.78%,8332.58,139987.27,2378369.84,19,-1088.67,-14.76%,6.55%,0/0
CBG,Long (trail),1/7/2009,8.93,29/10/2009,11.016,23.36%,27981.57,23.34%,13423.6,119872.48,2406351.41,85,329.19,-14.78%,54.20%,0/0
LEN,Long (trail),1/10/2009,13.25,2/11/2009,12.384,-6.54%,-9346.5,-6.55%,10769.6,142697.56,2397004.91,23,-406.37,-6.54%,16.83%,0/0
WFM,Long (trail),1/7/2009,9.37367,5/11/2009,13.4636,43.63%,52283.42,43.62%,12788.2,119872.48,2449288.33,90,580.93,-10.46%,79.54%,0/0
GGP,Long (trail),29/10/2009,3.21421,18/11/2009,3.63396,13.06%,19135.27,13.05%,45634.3,146678.11,2468423.6,15,1275.68,-18.49%,13.47%,0/0
GGP,Long (trail),19/11/2009,4.98276,16/12/2009,6.89807,38.44%,61784.14,38.43%,32268.4,160785.53,2530207.74,19,3251.8,-21.94%,77.17%,0/0
MS,Long (trail),1/7/2009,28.36,21/1/2010,28.624,0.93%,1095.88,0.91%,4226.82,119872.48,2531303.62,141,7.77,-12.38%,26.16%,0/0
FCX,Long (trail),1/7/2009,23.8397,26/1/2010,34.1496,43.25%,51821.2,43.23%,5028.28,119872.49,2583124.82,144,359.87,-14.59%,79.06%,0/0
WDC,Long (trail),1/7/2009,26.8,29/1/2010,37.952,41.61%,49861.27,41.60%,4472.85,119872.48,2632986.09,147,339.19,-7.91%,77.01%,0/0
MAC,Long (trail),2/10/2009,25.7262,29/1/2010,28.7191,11.63%,16842.29,11.62%,5634.1,144943.89,2649828.37,82,205.39,-4.34%,39.54%,0/0
MU,Long (trail),28/10/2009,6.83,29/1/2010,9.072,32.83%,39235.97,32.81%,17509.4,119588.9,2689064.35,64,613.06,-10.40%,66.03%,0/0
AMZN,Long (trail),1/7/2009,81.6,1/2/2010,116.728,43.05%,51583.93,43.03%,1469.03,119872.49,2740648.28,148,348.54,-7.59%,78.81%,0/0
LVLT,Long (trail),16/12/2009,21.3,5/2/2010,19.92,-6.48%,-10759.07,-6.49%,7781.93,165755.19,2729889.21,35,-307.4,-6.48%,16.90%,0/0
CF,Long (trail),1/7/2009,14.802,13/4/2010,17.6,18.90%,22639.32,18.89%,8098.4,119872.48,2752528.53,197,114.92,-8.20%,48.63%,0/0
MCO,Long (trail),29/1/2010,27.59,27/4/2010,24.832,-10.00%,-16563.4,-10.01%,5998.33,165493.98,2735965.13,61,-271.53,-10.00%,12.50%,0/0
DAL,Long (trail),8/2/2010,11.25,29/4/2010,11.952,6.24%,10073.99,6.23%,14378.9,161762.59,2746039.12,57,176.74,-0.98%,32.80%,0/0
F,Long (trail),3/9/2009,7.29842,5/5/2010,11.373,55.83%,54553.04,55.81%,13393.4,97750.59,2800592.15,168,324.72,-11.63%,94.79%,0/0
AIG,Long (trail),13/4/2010,33.3036,5/5/2010,30.4585,-8.54%,-16362.32,-8.55%,5744,191295.81,2784229.83,17,-962.49,-8.54%,14.32%,0/0
PCLN,Long (trail),1/7/2009,112.62,6/5/2010,219.144,94.59%,113363.91,94.57%,1064.4,119872.48,2897593.74,214,529.74,-9.15%,143.23%,0/0
WYNN,Long (trail),28/10/2009,41.2774,6/5/2010,61.1877,48.24%,73716.36,48.22%,3703.43,152868.11,2971310.11,131,562.72,-3.97%,85.29%,0/0
AMZN,Long (trail),2/2/2010,118.12,6/5/2010,120.872,2.33%,3833.45,2.32%,1400.24,165395.92,2975143.56,66,58.08,-3.40%,27.91%,0/0
TGNA,Long (trail),5/2/2010,10.8174,6/5/2010,12.594,16.42%,26488.2,16.41%,14921.4,161411.64,3001631.76,63,420.45,-5.62%,45.53%,0/0
GGP,Long (trail),1/2/2010,6.66394,7/5/2010,10.8233,62.42%,101693.84,62.40%,24454.1,162960.77,3103325.59,68,1495.5,-4.03%,103.02%,0/0
WYN,Long (trail),1/7/2009,12.21,20/5/2010,22.352,83.06%,99549.76,83.05%,9817.57,119872.48,3202875.35,224,444.42,-15.72%,128.83%,0/0
NFX,Long (trail),2/11/2009,41.85,20/5/2010,48.4,15.65%,21035,15.64%,3214.5,134527,3223910.35,138,152.43,-6.19%,44.56%,0/0
NFLX,Long (trail),29/1/2010,8.89285,20/5/2010,13.6571,53.57%,88642.23,53.56%,18609.8,165493.98,3312552.58,78,1136.44,-4.77%,91.97%,0/0
AIG,Long (trail),6/5/2010,30.4833,20/5/2010,29.4365,-3.43%,-6770.18,-3.44%,6448.39,196568.59,3305782.4,11,-615.47,-9.20%,20.71%,0/0
CA,Long (trail),27/7/2009,20.69,21/5/2010,19.32,-6.62%,-6881.74,-6.64%,5008.57,103627.32,3298900.66,208,-33.09,-6.62%,16.72%,0/0
F,Long (trail),6/5/2010,11.494,21/5/2010,10.0012,-12.99%,-25550.59,-13.00%,17101.8,196568.59,3273350.07,12,-2129.22,-12.99%,9.25%,0/0
PVH,Long (trail),7/5/2010,54.8,21/5/2010,50,-8.76%,-16554.49,-8.77%,3444.69,188768.8,3256795.58,11,-1504.95,-8.76%,14.54%,0/0
CMI,Long (trail),7/5/2010,65.31,21/5/2010,60.984,-6.62%,-12489.92,-6.63%,2882.55,188259.44,3244305.66,11,-1135.45,-6.62%,16.72%,0/0
URI,Long (trail),21/5/2010,11.81,24/6/2010,10.456,-11.46%,-20734.49,-11.48%,15298.7,180678.11,3223571.17,24,-863.94,-11.46%,10.67%,0/0
LB,Long (trail),7/5/2010,18.3142,29/6/2010,16.1853,-11.62%,-21963.49,-11.64%,10307.2,188768.78,3201607.68,37,-593.61,-11.62%,10.47%,0/0
PVH,Long (trail),24/5/2010,54.28,29/6/2010,45.696,-15.81%,-26019.31,-15.83%,3028.81,164403.84,3175588.37,26,-1000.74,-15.81%,5.23%,0/0
PXD,Long (trail),8/2/2010,44.27,30/6/2010,59.2,33.72%,54534.22,33.71%,3654,161762.59,3230122.59,100,545.34,-2.85%,67.16%,0/0
CERN,Long (trail),1/7/2009,15.6675,1/7/2010,18.59,18.65%,22340.13,18.64%,7651.03,119872.49,3252462.72,253,88.3,-9.93%,48.32%,0/0
WFM,Long (trail),6/11/2009,13.8208,1/7/2010,16.9,22.28%,33486.83,22.27%,10881.6,150392.14,3285949.55,163,205.44,-11.72%,52.85%,0/0
WHR,Long (trail),24/5/2010,97.36,1/7/2010,85.464,-12.22%,-22320.93,-12.23%,1874.66,182516.67,3263628.63,28,-797.18,-12.22%,9.73%,0/0
UAL,Long (trail),6/5/2010,17.97,2/7/2010,19.672,9.47%,18597.68,9.46%,10938.7,196568.59,3282226.31,41,453.6,-8.79%,36.84%,0/0
AIV,Long (trail),24/5/2010,19.15,6/7/2010,18.176,-5.09%,-9303.09,-5.10%,9530.9,182516.66,3272923.22,30,-310.1,-5.27%,18.64%,0/0
ZION,Long (trail),21/5/2010,23.8,20/7/2010,19.93,-16.26%,-29399.17,-16.27%,7591.52,180678.11,3243524.04,41,-717.05,-16.26%,4.83%,0/0
NFLX,Long (trail),21/5/2010,14.21,22/7/2010,14.624,2.91%,5243.96,2.90%,12714.9,180678.11,3248768,43,121.95,-8.71%,28.64%,0/0
UAL,Long (trail),2/8/2010,24.17,24/8/2010,19.552,-19.11%,-34883.41,-19.12%,7549.46,182470.47,3213884.59,17,-2051.97,-19.11%,1.12%,0/0
URI,Long (trail),2/8/2010,13.37,25/8/2010,11.184,-16.35%,-29853.99,-16.36%,13647.8,182470.47,3184030.6,18,-1658.56,-16.35%,4.56%,0/0
UAL,Long (trail),1/10/2010,24.7,15/12/2010,23.8,-3.64%,-7191.46,-3.65%,7968.29,196816.86,3176839.13,53,-135.69,-3.81%,20.45%,0/0
AKAM,Long (trail),2/8/2010,37.2,10/2/2011,41.69,12.07%,22003.99,12.06%,4905.12,182470.47,3198843.12,135,162.99,-1.37%,46.91%,0/0
NFLX,Long (trail),2/8/2010,14.5543,8/3/2011,28.2914,94.39%,172205.78,94.37%,12537.2,182470.47,3371048.9,152,1132.93,-3.09%,142.98%,0/0
RHT,Long (trail),1/7/2009,20.63,15/3/2011,38.84,88.27%,105790.87,88.25%,5810.59,119872.49,3476839.77,430,246.03,-9.40%,137.52%,0/0
URI,Long (trail),1/10/2010,14.95,20/4/2011,27.824,86.11%,89010.1,86.09%,6915.5,103386.67,3565849.87,140,635.79,-3.28%,132.64%,0/0
CXO,Long (trail),2/8/2010,62.11,5/5/2011,88.712,42.83%,78132.95,42.82%,2937.86,182470.48,3643982.82,193,404.83,-8.29%,78.54%,0/0
C,Long (trail),6/5/2010,40.4,16/5/2011,41.08,1.68%,3288.58,1.67%,4865.56,196568.59,3647271.4,260,12.65,-12.62%,27.48%,0/0
BWA,Long (trail),3/8/2010,22.915,24/5/2011,32.912,43.63%,80098.61,43.62%,8014.27,183646.89,3727370.01,205,390.72,-7.96%,79.53%,0/0
URI,Long (trail),21/4/2011,29.72,24/5/2011,24.256,-18.38%,-45872.45,-18.39%,8391.74,249402.39,3681497.56,23,-1994.45,-18.38%,2.02%,0/0
RF,Long (trail),10/3/2011,7.34,6/6/2011,6.096,-16.95%,-41303.68,-16.96%,33186.2,243586.97,3640193.89,61,-677.11,-16.95%,3.81%,0/0
AAP,Long (trail),21/5/2010,49.47,7/6/2011,57.856,16.95%,30607.99,16.94%,3652.28,180678.11,3670801.88,264,115.94,-3.46%,46.19%,0/0
CMI,Long (trail),24/5/2010,64.23,8/6/2011,97.192,51.32%,93645.18,51.31%,2841.61,182516.67,3764447.05,264,354.72,-5.81%,89.15%,0/0
CME,Long (trail),17/12/2010,55.0803,8/6/2011,45.2678,-17.81%,-33801.65,-17.83%,3442.71,189625.41,3730645.4,119,-284.05,-17.81%,2.73%,0/0
CBG,Long (trail),3/8/2010,16.97,13/6/2011,23.904,40.86%,75018.75,40.85%,10821.9,183646.89,3805664.16,218,344.12,-7.48%,76.08%,0/0
LVLT,Long (trail),21/6/2011,34.35,27/7/2011,32.04,-6.72%,-15409.62,-6.73%,6662.17,228845.59,3790254.54,26,-592.68,-6.72%,16.59%,0/0
TGNA,Long (trail),15/3/2011,12.0887,29/7/2011,10.1059,-16.40%,-39411.04,-16.41%,19866.4,240158.11,3750843.5,96,-410.53,-16.40%,4.50%,0/0
VRSN,Long (trail),16/10/2009,19.7852,2/8/2011,30.184,52.56%,73661.86,52.54%,7085.63,140190.64,3824505.36,452,162.97,-8.97%,90.70%,0/0
ALK,Long (trail),2/8/2010,13.2375,3/8/2011,14.122,6.68%,12172.27,6.67%,13784.4,182470.47,3836677.63,255,47.73,-17.11%,33.35%,0/0
UAA,Long (trail),9/5/2011,8.48346,3/8/2011,8.56999,1.02%,2521.11,1.01%,29366.8,249132.3,3839198.74,61,41.33,-6.29%,26.27%,0/0
LYB,Long (trail),1/6/2011,34.7122,3/8/2011,29.0374,-16.35%,-38011.06,-16.36%,6694.7,232387.45,3801187.68,45,-844.69,-16.35%,4.56%,0/0
GT,Long (trail),13/6/2011,14.78,4/8/2011,14.6,-1.22%,-2769.7,-1.23%,15276.1,225780.77,3798417.98,38,-72.89,-1.89%,23.48%,0/0
CHTR,Long (trail),23/6/2011,61.4023,4/8/2011,53.0856,-13.54%,-25982.66,-13.56%,3121.74,191681.86,3772435.32,30,-866.09,-13.54%,8.07%,0/0
DISCA,Long (trail),1/7/2009,11.7442,5/8/2011,18.7213,59.41%,71194.34,59.39%,10206.9,119872.49,3843629.66,530,134.33,-6.83%,99.26%,0/0
WYNN,Long (trail),7/5/2010,62.6427,5/8/2011,121.253,93.56%,176598.6,93.55%,3013.42,188768.78,4020228.26,316,558.86,-5.78%,141.95%,0/0
TSO,Long (trail),24/5/2011,23.51,5/8/2011,20.632,-12.24%,-29549.07,-12.25%,10260.3,241219.03,3990679.2,52,-568.25,-13.31%,9.70%,0/0
VRTX,Long (trail),10/6/2011,48.2,5/8/2011,42.4,-12.03%,-27597.46,-12.04%,4754.73,229178.22,3963081.73,40,-689.94,-12.03%,9.96%,0/0
LVLT,Long (trail),28/7/2011,32.25,5/8/2011,27.84,-13.67%,-29206.13,-13.68%,6618.17,213435.97,3933875.61,7,-4172.3,-13.67%,7.91%,0/0
AIV,Long (trail),3/8/2010,21.84,8/8/2011,22.496,3.00%,5496.13,2.99%,8408.74,183646.89,3939371.74,257,21.39,-12.96%,28.75%,0/0
EXR,Long (trail),3/8/2010,15.82,8/8/2011,17.952,13.48%,8748.49,13.45%,4112.8,65064.47,3948120.23,257,34.04,-8.72%,41.85%,0/0
AXP,Long (trail),14/2/2011,46.52,8/8/2011,43.04,-7.48%,-15316.03,-7.49%,4395.41,204474.45,3932804.2,122,-125.54,-9.31%,15.65%,0/0
EL,Long (trail),7/5/2010,29.265,9/8/2011,43.508,48.67%,91852,48.66%,6450.33,188768.8,4024656.2,318,288.84,-7.45%,85.84%,0/0
LVLT,Long (trail),8/8/2011,25.5,22/8/2011,24.24,-4.94%,-10639.61,-4.95%,8428.26,214920.75,4014016.58,11,-967.24,-4.94%,18.82%,0/0
REGN,Long (trail),4/8/2011,47.72,19/9/2011,59.872,25.47%,57763.55,25.46%,4755.06,226911.7,4071780.13,32,1805.11,-10.25%,56.83%,0/0
AN,Long (trail),2/8/2010,24.64,22/9/2011,33.24,34.90%,63666.93,34.89%,7405.46,182470.47,4135447.07,290,219.54,-9.82%,68.63%,0/0
COG,Long (trail),10/8/2011,16.675,22/9/2011,15.73,-5.67%,-12065.35,-5.68%,12746.4,212546.28,4123381.71,31,-389.2,-5.67%,17.92%,0/0
RRC,Long (trail),31/8/2011,64.76,23/9/2011,61.792,-4.58%,-10140.46,-4.59%,3409.86,220822.52,4113241.25,17,-596.5,-7.18%,19.27%,0/0
EXPE,Long (trail),29/8/2011,27.2815,3/10/2011,23.0783,-15.41%,-33355.1,-15.42%,7930.94,216367.86,4079886.15,25,-1334.2,-15.41%,5.74%,0/0
EQT,Long (trail),31/8/2011,59.82,3/10/2011,52.776,-11.78%,-26022.57,-11.78%,3691.45,220822.52,4053863.58,23,-1131.42,-11.78%,10.28%,0/0
GT,Long (trail),1/2/2012,13.28,28/3/2012,11.472,-13.61%,-29619.14,-13.62%,16371.2,217409.58,4024244.44,40,-740.48,-13.61%,7.98%,0/0
CNC,Long (trail),1/2/2012,23.17,10/4/2012,20.392,-11.99%,-26086.63,-12.00%,9383.24,217409.59,3998157.81,48,-543.47,-11.99%,10.01%,0/0
ILMN,Long (trail),1/2/2012,51.97,17/4/2012,43.84,-15.64%,-34030.77,-15.65%,4183.37,217409.58,3964127.04,53,-642.09,-15.64%,5.45%,0/0
FAST,Long (trail),1/2/2012,46.5124,7/5/2012,43.4689,-6.54%,-14246.1,-6.55%,4674.23,217409.58,3949880.94,67,-212.63,-6.54%,16.95%,0/0
CBG,Long (trail),1/2/2012,19,9/5/2012,16.924,-10.93%,-23774.86,-10.94%,11442.6,217409.58,3926106.09,69,-344.56,-10.93%,11.34%,0/0
C,Long (trail),1/2/2012,31.6,9/5/2012,30.72,-2.78%,-2022.27,-2.81%,2275.3,71899.56,3924083.82,69,-29.31,-2.78%,21.52%,0/0
URI,Long (trail),1/2/2012,38.49,16/5/2012,38.384,-0.28%,-618.74,-0.28%,5648.47,217409.58,3923465.08,74,-8.36,-1.79%,24.66%,0/0
LNC,Long (trail),1/2/2012,22.12,16/5/2012,22.032,-0.40%,-884.92,-0.41%,9828.64,217409.58,3922580.16,74,-11.96,-2.08%,24.50%,0/0
PHM,Long (trail),11/4/2012,8.39,17/5/2012,8.656,3.17%,6045.78,3.16%,22803.7,191322.97,3928625.94,27,223.92,-5.84%,28.96%,0/0
STX,Long (trail),1/2/2012,25.53,22/5/2012,26.04,2.00%,4323.08,1.99%,8515.85,217409.58,3932949.02,78,55.42,-7.72%,27.50%,0/0
URI,Long (trail),17/5/2012,33.89,1/6/2012,30.824,-9.05%,-20938.96,-9.06%,6822.88,231227.52,3912010.06,11,-1903.54,-9.05%,13.69%,0/0
STX,Long (trail),23/5/2012,25.78,1/6/2012,21.68,-15.90%,-36272.73,-15.91%,8842.13,227950.09,3875737.34,7,-5181.82,-15.90%,5.12%,0/0
RF,Long (trail),1/2/2012,5.32,4/6/2012,5.584,4.96%,10768.75,4.95%,40866.5,217409.58,3886506.08,86,125.22,-1.69%,31.20%,0/0
PHM,Long (trail),24/5/2012,9.4,4/6/2012,7.696,-18.13%,-29237.77,-18.14%,17146.6,161177.83,3857268.31,7,-4176.82,-18.13%,2.34%,0/0
GWW,Long (trail),1/2/2012,193.37,5/6/2012,177.472,-8.22%,-17894.42,-8.23%,1124.32,217409.58,3839373.89,87,-205.68,-8.22%,14.72%,0/0
REGN,Long (trail),1/2/2012,92.43,13/6/2012,116.032,25.53%,55495.53,25.53%,2352.15,217409.58,3894869.42,93,596.73,-2.72%,56.92%,0/0
PNR,Long (trail),29/3/2012,47.14,25/6/2012,38.16,-19.05%,-35793.4,-19.06%,3983.68,187790.44,3859076.02,61,-586.78,-19.05%,1.44%,0/0
TSCO,Long (trail),1/2/2012,40.895,28/6/2012,40.48,-1.01%,-2226.26,-1.02%,5316.29,217409.58,3856849.76,104,-21.41,-3.34%,23.73%,0/0
